Rank,Compound_ID,Smiles,Wiener,Zagreb1,Zagreb2,Balaban_RDKit,activity_score,Activity_Predicted_Label,toxicity_score,Toxicity_Predicted_Label,safety_score,priority_score
152,5281601,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)O,1058,116,138,2.2036,0.1680341928608542,0,0.813370636872941,1,0.18662936312705902,0.03136011439719063
153,5281708,"C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O 
",694,102,121,2.2577,0.19183387859658033,0,0.8376397525488104,1,0.1623602474511896,0.031146195998462245
154,5281814,CC(=CCC1=C(C2=C(C=C1O)OC=C(C2=O)C3=CC=C(C=C3)O)O)C,1484,132,157,2.2486,0.18531337958600932,0,0.8327254755826183,1,0.16727452441738166,0.030998207438427433
155,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,872,114,137,2.3725,0.18081612008996104,0,0.8327254755826183,1,0.16727452441738166,0.030245930495044402
156,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,788,108,128,2.2894,0.1804223971549558,0,0.8327254755826183,1,0.16727452441738166,0.030180070678339187
157,5282074,C1=CC(=C(C=C1O)O)C2=COC3=CC(=CC(=C3C2=O)O)O,876,114,137,2.3501,0.17582820079450462,0,0.8327254755826183,1,0.16727452441738166,0.02941157866706465
158,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,781,108,129,2.3142,0.178076937734557,0,0.8751497180068609,1,0.12485028199313908,0.022232955892634108
159,5281616,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,747,108,130,2.4224,0.19126770495734707,0,0.8845773274344703,1,0.11542267256552974,0.02207662968165222
160,5280960,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2O)O)O)O,886,100,114,2.2649,0.15385396474835702,0,0.8943719189494963,1,0.1056280810505037,0.016251299058380794
161,145858,C1=CC=C(C=C1)C2=[O+]C3=CC=CC=C3C=C2,436,84,98,2.1924,0.13908781127810332,0,0.898031598031598,1,0.10196840196840196,0.014182561849310871
162,5281607,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,670,102,121,2.341,0.20196112765557514,0,1.0,1,0.0,0.0
