Compound_ID,Smiles,Activity_Label,Toxicity_Label
CMP062,OC[C@@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0,0
CMP063,OCC(O)C(O)C(O)C(O)CO,0,0
CMP064,OCC(O)C(O)C(O)CO,0,0
CMP065,NCC(=O)O,0,0
CMP066,CC(N)C(=O)O,0,0
CMP067,N[C@@H](CC1=CC=CC=C1)C(=O)O,1,0
CMP068,N[C@@H](CC1=CC=C(O)C=C1)C(=O)O,1,0
CMP069,N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)O,1,0
CMP070,CC(C)CCC[C@@H](C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,1,1
CMP071,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,1,1
CMP072,CC(C)C1CCC(C)CC1O,0,0
CMP073,CC1=CCC(C(=C)C)CC1,1,0
CMP074,CC1(C)S[C@@H]2[C@H](NC(=O)CC3=CC=CC=C3)C(=O)N2[C@H]1C(=O)O,1,0
CMP075,CC1(C)S[C@@H]2[C@H](NC(=O)C(N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(=O)O,1,0
CMP076,C1CN(CCN1)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F,1,1
CMP077,CC1=NC=C([N+]([O-])=O)N1CCO,1,1
CMP078,C1=CC(=CC=C1F)C(CN2C=NC=N2)(CN3C=NC=N3)O,1,0
CMP079,CC(=O)NC1=CC=C(O)C=C1,0,0
CMP080,CC(=O)OC1=CC=CC=C1C(=O)O,1,0
CMP081,CN1CCC[C@H]1C2=CN=CC=C2,1,1
CMP082,O=C1C[C@@H]2[C@@H]3N(C=CC4=CC=CC=C34)C[C@H]1[C@@]25CCO[C@H]6CC(=O)N7[C@@H]6C5,1,1
CMP083,CN1CC[C@]23C4=C5C=CC(O)=C4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,1,1
CMP084,CN1CC[C@]23C4=C5C=CC(OC)=C4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,1,1
CMP085,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C3=CC=CC=C3,1,1
CMP086,COC1=CC(C=O)=CC=C1O,1,0
CMP087,C1=CC=C2C(=C1)C=CC(=O)O2,1,1
CMP088,CC(=O)CC(C1=CC=CC=C1)C2=C(O)C3=CC=CC=C3OC2=O,1,1
CMP089,CN1C(=O)CN=C(C2=CC=CC=C2Cl)C3=CC=CC=C13,1,1
CMP090,CCCC1=NN(C)C2=C1N=C(NC3=CC(=CC=C3)S(=O)(=O)N4CCN(C)CC4)C(=O)N2,1,0
CMP091,CC(C)C1=C(C(=C(N1CC[C@@H](O)C[C@@H](O)CC(=O)O)C2=CC=C(F)C=C2)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,0,1
